motif	HGNC	sub_cluster
PO2F2.H13CORE.1.M.C	POU2F2	1230
PO2F2.H13CORE.2.S.B	POU2F2	1231
PO2F3.H13CORE.0.PS.A	POU2F3	1232
PO2F3.H13CORE.1.S.C	POU2F3	1233
PO3F1.H13CORE.0.P.B	POU3F1	1234
PO3F1.H13CORE.1.PS.A	POU3F1	1235
PO3F1.H13CORE.2.S.C	POU3F1	1236
PO3F1.H13CORE.3.M.C	POU3F1	1237
PO3F2.H13CORE.0.P.B	POU3F2	1238
PO3F2.H13CORE.1.S.B	POU3F2	1239
PO3F2.H13CORE.2.SM.B	POU3F2	1240
PO3F3.H13CORE.0.P.C	POU3F3	1241
PO3F3.H13CORE.1.P.C	POU3F3	1242
PO3F3.H13CORE.2.S.B	POU3F3	1243
PO3F4.H13CORE.0.SM.B	POU3F4	1244
PO4F1.H13CORE.0.S.B	POU4F1	1245
PO4F1.H13CORE.1.SM.B	POU4F1	1246
PO4F2.H13CORE.0.S.B	POU4F2	1247
PO4F3.H13CORE.0.SM.B	POU4F3	1248
PO5F1.H13CORE.0.P.B	POU5F1	1249
PO5F1.H13CORE.1.P.B	POU5F1	1250
PO5F1.H13CORE.2.SM.B	POU5F1	1251
PO6F1.H13CORE.0.SM.B	POU6F1	1252
PO6F2.H13CORE.0.S.B	POU6F2	1253
PURB.H13CORE.0.B.B	PURB	1254
MEF2A.H13CORE.0.P.B	MEF2A	1255
MEF2B.H13CORE.0.PS.A	MEF2B	1256
MEF2B.H13CORE.1.SM.B	MEF2B	1257
MEF2C.H13CORE.0.P.B	MEF2C	1258
MEF2C.H13CORE.1.SM.B	MEF2C	1259
MEF2D.H13CORE.0.PS.A	MEF2D	1260
MEF2D.H13CORE.1.M.C	MEF2D	1261
SRF.H13CORE.0.PSM.A	SRF	1262
RFX1.H13CORE.0.PM.A	RFX1	1263
RFX1.H13CORE.1.PSM.A	RFX1	1264
RFX1.H13CORE.2.S.C	RFX1	1265
RFX2.H13CORE.0.PS.A	RFX2	1266
RFX2.H13CORE.1.PSM.A	RFX2	1267
RFX3.H13CORE.0.PSM.A	RFX3	1268
RFX3.H13CORE.1.PS.A	RFX3	1269
RFX3.H13CORE.2.S.B	RFX3	1270
RFX4.H13CORE.0.SM.B	RFX4	1271
RFX5.H13CORE.0.PSG.A	RFX5	1272
RFX6.H13CORE.0.P.C	RFX6	1273
RFX7.H13CORE.0.SM.B	RFX7	1274
RUNX1.H13CORE.0.P.B	RUNX1	1275
RUNX2.H13CORE.0.P.B	RUNX2	1276
RUNX2.H13CORE.1.S.B	RUNX2	1277
RUNX2.H13CORE.2.M.C	RUNX2	1278
RUNX3.H13CORE.0.P.B	RUNX3	1279
RUNX3.H13CORE.1.S.B	RUNX3	1280
RUNX3.H13CORE.2.S.B	RUNX3	1281
COT1.H13CORE.0.PSM.A	NR2F1	1282
COT1.H13CORE.1.PSM.A	NR2F1	1283
COT2.H13CORE.0.P.B	NR2F2	1284
COT2.H13CORE.1.P.B	NR2F2	1285
HNF4A.H13CORE.0.PSM.A	HNF4A	1286
HNF4G.H13CORE.0.P.B	HNF4G	1287
NR2C1.H13CORE.0.S.C	NR2C1	1288
NR2C1.H13CORE.1.PM.A	NR2C1	1289
NR2C2.H13CORE.0.SM.B	NR2C2	1290
NR2C2.H13CORE.1.PS.A	NR2C2	1291
NR2E1.H13CORE.0.SM.B	NR2E1	1292
NR2E1.H13CORE.1.S.B	NR2E1	1293
NR2F6.H13CORE.0.P.C	NR2F6	1294
NR2F6.H13CORE.1.PSM.A	NR2F6	1295
NR2F6.H13CORE.2.SM.B	NR2F6	1296
NR2F6.H13CORE.3.SM.B	NR2F6	1297
RXRA.H13CORE.0.PS.A	RXRA	1298
RXRA.H13CORE.1.S.C	RXRA	1299
RXRA.H13CORE.2.SM.B	RXRA	1300
RXRA.H13CORE.3.P.B	RXRA	1301
RXRB.H13CORE.0.P.C	RXRB	1302
RXRB.H13CORE.1.SM.B	RXRB	1303
RXRB.H13CORE.2.PS.A	RXRB	1304
RXRG.H13CORE.0.P.B	RXRG	1305
RXRG.H13CORE.1.SM.B	RXRG	1306
RXRG.H13CORE.2.P.B	RXRG	1307
