motif	cluster	HGNC
HOXA1_MA1495.2	C_mix-a	HOXA1
ELK1HOXB13_MA1932.2	C_ELK1::HOXB13	ELK1::HOXB13
PAX1_MA0779.2	C_PAX9	PAX1
PAX5_MA0014.4	C_PAX5	PAX5
PAX9_MA0781.2	C_PAX9	PAX9
SPDEF_MA0686.2	C_SPDEF	SPDEF
ELK1SREBF2_MA1933.2	C_ELK1::SREBF2	ELK1::SREBF2
SREBF2_MA0828.3	C_BHLHE41	SREBF2
TEF_MA0843.2	C_TEF	TEF
ELK3_MA0759.3	C_ETS1	ELK3
ELK4_MA0076.3	C_ETS1	ELK4
EMX1_MA0612.3	C_mix-a	EMX1
EMX2_MA0886.2	C_mix-a	EMX2
EN1_MA0027.3	C_mix-a	EN1
EN2_MA0642.3	C_PRRX2	EN2
ERF_MA0760.2	C_ETS1	ERF
ERFFIGLA_MA1934.2	C_ETV5::FIGLA	ERF::FIGLA
FIGLA_MA0820.2	C_TCF3	FIGLA
ERFFOXI1_MA1935.2	C_ETV2::FOXI1	ERF::FOXI1
ERFFOXO1_MA1936.2	C_FOXO1::ELK1	ERF::FOXO1
ERFHOXB13_MA1937.2	C_ERF::HOXB13	ERF::HOXB13
MAX_MA0058.4	C_Mlxip	MAX
ERFNHLH1_MA1938.2	C_ERF::NHLH1	ERF::NHLH1
NHLH1_MA0048.3	C_Twist2	NHLH1
ERFSREBF2_MA1939.2	C_ERF::SREBF2	ERF::SREBF2
ESR1_MA0112.4	C_ESR2	ESR1
ESRRA_MA0592.4	C_Nr1h3	ESRRA
ESRRB_MA0141.4	C_ESRRB	ESRRB
ESX1_MA0644.3	C_mix-a	ESX1
ETS1_MA0098.4	C_ETS1	ETS1
ETS2_MA1484.2	C_ETS1	ETS2
ETV1_MA0761.3	C_GABPA	ETV1
ETV2_MA0762.2	C_ETS1	ETV2
ETV2DRGX_MA1940.2	C_ETV5::DRGX	ETV2::DRGX
ETV2FIGLA_MA1941.2	C_ETV5::FIGLA	ETV2::FIGLA
ETV2FOXI1_MA1942.2	C_ETV2::FOXI1	ETV2::FOXI1
ETV2HOXB13_MA1943.2	C_ETV2::HOXB13	ETV2::HOXB13
ETV3_MA0763.2	C_ETS1	ETV3
ETV4_MA0764.4	C_ETS1	ETV4
ETV5_MA0765.4	C_ETS1	ETV5
ETV5DRGX_MA1944.2	C_ETV5::DRGX	ETV5::DRGX
ETV5FIGLA_MA1945.2	C_ETV5::FIGLA	ETV5::FIGLA
ETV5FOXI1_MA1946.2	C_FOXO1::ELK1	ETV5::FOXI1
ETV5FOXO1_MA1947.2	C_ETV5::FOXO1	ETV5::FOXO1
ETV5HOXA2_MA1948.2	C_ETV5::HOXA2	ETV5::HOXA2
HOXA2_MA0900.3	C_mix-a	HOXA2
ETV6_MA0645.2	C_GABPA	ETV6
EVX1_MA0887.2	C_mix-a	EVX1
EVX2_MA0888.2	C_mix-a	EVX2
FEV_MA0156.4	C_ETS1	FEV
FLI1_MA0475.3	C_ETS1	FLI1
FLI1DRGX_MA1949.2	C_FLI1::DRGX	FLI1::DRGX
FLI1FOXI1_MA1950.2	C_ETV2::FOXI1	FLI1::FOXI1
FOS_MA0476.2	C_FOS::JUND	FOS
FOS_MA1951.2	C_FOSL2::JUN	FOS
FOSJUN_MA0099.4	C_FOS::JUND	FOS::JUN
FOSJUN_MA1126.2	C_FOSL2::JUN	FOS::JUN
FOSJUNB_MA1134.2	C_FOS::JUND	FOS::JUNB
JUNB_MA1140.3	C_FOSL2::JUN	JUNB
JUNB_MA0490.3	C_FOS::JUND	JUNB
FOSJUND_MA1141.2	C_FOS::JUND	FOS::JUND
JUND_MA0492.2	C_FOSL2::JUN	JUND
JUND_MA0491.3	C_FOS::JUND	JUND
FOSBJUNB_MA1135.2	C_FOS::JUND	FOSB::JUNB
FOSL1_MA0477.3	C_FOS::JUND	FOSL1
FOSL1JUN_MA1128.2	C_FOS::JUND	FOSL1::JUN
FOSL1JUNB_MA1137.2	C_FOS::JUND	FOSL1::JUNB
FOSL1JUND_MA1142.2	C_FOS::JUND	FOSL1::JUND
FOSL1JUND_MA1143.2	C_FOSL1::JUND	FOSL1::JUND
FOSL2_MA0478.2	C_FOS::JUND	FOSL2
FOSL2JUN_MA1130.2	C_FOS::JUND	FOSL2::JUN
FOSL2JUN_MA1131.2	C_FOSL2::JUN	FOSL2::JUN
FOSL2JUNB_MA1138.2	C_FOS::JUND	FOSL2::JUNB
FOSL2JUNB_MA1139.2	C_FOSL2::JUN	FOSL2::JUNB
FOSL2JUND_MA1144.2	C_FOS::JUND	FOSL2::JUND
FOSL2JUND_MA1145.2	C_FOSL2::JUN	FOSL2::JUND
FOXA1_MA0148.5	C_FOXP4	FOXA1
FOXA2_MA0047.4	C_FOXP4	FOXA2
FOXA3_MA1683.2	C_FOXP4	FOXA3
FOXC2_MA0846.2	C_FOXC2	FOXC2
FOXD1_MA0031.2	C_FOXP4	FOXD1
FOXD2_MA0847.4	C_FOXE1	FOXD2
FOXD3_MA0041.3	C_FOXD3	FOXD3
FOXE1_MA1487.3	C_FOXE1	FOXE1
FOXF2_MA0030.2	C_FOXP4	FOXF2
FOXH1_MA0479.2	C_FOXH1	FOXH1
FOXJ2ELF1_MA1952.2	C_ETV2::FOXI1	FOXJ2::ELF1
PITX1_MA0682.3	C_RHOXF1	PITX1
FOXK1_MA0852.3	C_FOXP4	FOXK1
FOXK2_MA1103.3	C_FOXP4	FOXK2
FOXO1ELF1_MA1953.2	C_FOXO1::ELK1	FOXO1::ELF1
FOXO1ELK1_MA1954.2	C_FOXO1::ELK1	FOXO1::ELK1
FOXO1ELK3_MA1955.2	C_FOXO1::ELK1	FOXO1::ELK3
FOXO1FLI1_MA1956.2	C_FOXO1::ELK1	FOXO1::FLI1
FOXP1_MA0481.4	C_FOXP4	FOXP1
FOXP2_MA0593.2	C_FOXP4	FOXP2
GABPA_MA0062.4	C_GABPA	GABPA
GATA1_MA0035.5	C_Gata3	GATA1
GATA1TAL1_MA0140.3	C_GATA1::TAL1	GATA1::TAL1
GATA2_MA0036.4	C_Gata3	GATA2
GATA4_MA0482.3	C_Gata3	GATA4
GATA5_MA0766.3	C_Gata3	GATA5
GATA6_MA1104.3	C_Gata3	GATA6
GBX1_MA0889.2	C_PRRX2	GBX1
GBX2_MA0890.2	C_Dlx2	GBX2
GCM1_MA0646.2	C_GCM1	GCM1
SOX2_MA0143.5	C_Sox3	SOX2
GCM2_MA0767.2	C_GCM2	GCM2
GFI1_MA0038.3	C_GFI1	GFI1
GLI3_MA1491.3	C_GLI3	GLI3
GLIS1_MA0735.2	C_GLIS1	GLIS1
GRHL1_MA0647.2	C_GRHL1	GRHL1
GRHL2_MA1105.3	C_GRHL2	GRHL2
GSC_MA0648.2	C_RHOXF1	GSC
GSC2_MA0891.2	C_RHOXF1	GSC2
GSX1_MA0892.2	C_mix-a	GSX1
GSX2_MA0893.3	C_mix-a	GSX2
TCF3_MA0522.4	C_TCF3	TCF3
HAND2_MA1638.2	C_NEUROD1	HAND2
HES1_MA1099.3	C_ARNT2	HES1
HES2_MA0616.3	C_Mlxip	HES2
